COUNTRY,LAT,LONG,INDICATOR,DATE,VALUE,COUNTRY_ISO,DATE_EXTRACT
Afghanistan,33.93911,67.709953,Active cases,2022-03-15,168925,AFG,2022-03-16 16:01:52+0100
Albania,41.1533,20.1683,Active cases,2022-03-15,269225,ALB,2022-03-16 16:01:52+0100
Algeria,28.0339,1.6596,Active cases,2022-03-15,258610,DZA,2022-03-16 16:01:52+0100
Andorra,42.5063,1.5218,Active cases,2022-03-15,38642,AND,2022-03-16 16:01:52+0100
Angola,-11.2027,17.8739,Active cases,2022-03-15,97056,AGO,2022-03-16 16:01:52+0100
Antarctica,-71.9499,23.347,Active cases,2022-03-15,11,ATA,2022-03-16 16:01:52+0100
Antigua and Barbuda,17.0608,-61.7964,Active cases,2022-03-15,7335,ATG,2022-03-16 16:01:52+0100
Argentina,-38.4161,-63.6167,Active cases,2022-03-15,8853860,ARG,2022-03-16 16:01:52+0100
Armenia,40.0691,45.0382,Active cases,2022-03-15,413497,ARM,2022-03-16 16:01:52+0100
Australia,-42.8821,147.3272,Active cases,2022-03-15,61879,AUS,2022-03-16 16:01:52+0100
Australia,-37.8136,144.9631,Active cases,2022-03-15,1142937,AUS,2022-03-16 16:01:52+0100
Australia,-35.4735,149.0124,Active cases,2022-03-15,61819,AUS,2022-03-16 16:01:52+0100
Australia,-34.9285,138.6007,Active cases,2022-03-15,182966,AUS,2022-03-16 16:01:52+0100
Australia,-33.8688,151.2093,Active cases,2022-03-15,1509594,AUS,2022-03-16 16:01:52+0100
Australia,-31.9505,115.8605,Active cases,2022-03-15,56295,AUS,2022-03-16 16:01:52+0100
Australia,-27.4698,153.0251,Active cases,2022-03-15,639452,AUS,2022-03-16 16:01:52+0100
Australia,-12.4634,130.8456,Active cases,2022-03-15,45438,AUS,2022-03-16 16:01:52+0100
Austria,47.5162,14.5501,Active cases,2022-03-15,3210011,AUT,2022-03-16 16:01:52+0100
Azerbaijan,40.1431,47.5769,Active cases,2022-03-15,781335,AZE,2022-03-16 16:01:52+0100
Bahamas,25.025885,-78.035889,Active cases,2022-03-15,32425,BHS,2022-03-16 16:01:52+0100
Bahrain,26.0275,50.55,Active cases,2022-03-15,538524,BHR,2022-03-16 16:01:52+0100
Bangladesh,23.685,90.3563,Active cases,2022-03-15,1920830,BGD,2022-03-16 16:01:52+0100
Barbados,13.1939,-59.5432,Active cases,2022-03-15,56904,BRB,2022-03-16 16:01:52+0100
Belarus,53.7098,27.9534,Active cases,2022-03-15,936346,BLR,2022-03-16 16:01:52+0100
